filename,size,num_lines
20260901_040000.csv,4.3M,4468
20260901_050000.csv,3.6M,3772
20260901_060000.csv,3.8M,3986
20260901_070000.csv,2.8M,3187
20260901_080000.csv,3.2M,3520
20260901_090000.csv,3.0M,3323
20260901_100000.csv,3.5M,3661
20260901_110000.csv,3.8M,4057
20260901_120000.csv,4.3M,4609
20260901_130000.csv,6.1M,6201
20260901_140000.csv,5.8M,6029
20260901_150000.csv,5.1M,5468
20260901_160000.csv,5.4M,5853
20260901_170000.csv,5.4M,5729
20260901_180000.csv,5.5M,5891
20260901_190000.csv,5.1M,5558
20260901_200000.csv,6.5M,6843
20260901_210000.csv,6.5M,6909
20260901_220000.csv,5.5M,5782
20260901_230000.csv,4.7M,4970
20260902_000000.csv,4.2M,4628
20260902_010000.csv,5.1M,5276
20260902_020000.csv,6.3M,6175
20260902_030000.csv,4.1M,3914
